nome_coluna;chave;valor
categoria;101;Empregado - Geral
categoria;102;Empregado - Trabalhador Rural Por Pequeno Prazo Da Lei 11.718/2008
categoria;103;Empregado - Aprendiz
categoria;104;Empregado - Doméstico
categoria;105;Empregado - Contrato A Termo Firmado Nos Termos Da Lei 9.601/1998
categoria;106;Trabalhador Temporário - Contrato Nos Termos Da Lei 6.019/1974
categoria;107;Empregado - Contrato De Trabalho Verde E Amarelo - Sem Acordo Para Antecipação Mensal Da Multa Rescisória Do Fgts
categoria;108;Empregado - Contrato De Trabalho Verde E Amarelo - Com Acordo Para Antecipação Mensal Da Multa Rescisória Do Fgts
categoria;111;Empregado - Contrato De Trabalho Intermitente
categoria;999;Não Identificado
grau_instrucao;1;Analfabeto
grau_instrucao;10;Mestrado
grau_instrucao;11;Doutorado
grau_instrucao;2;Até 5ª Incompleto
grau_instrucao;3;5ª Completo Fundamental
grau_instrucao;4;6ª A 9ª Fundamental
grau_instrucao;5;Fundamental Completo
grau_instrucao;6;Médio Incompleto
grau_instrucao;7;Médio Completo
grau_instrucao;8;Superior Incompleto
grau_instrucao;80;Pós-Graduação Completa
grau_instrucao;9;Superior Completo
grau_instrucao;99;Não Identificado
indicador_aprendiz;0;Não
indicador_aprendiz;1;Sim
indicador_aprendiz;9;Não Identificado
indicador_trabalho_intermitente;0;Não
indicador_trabalho_intermitente;1;Sim
indicador_trabalho_intermitente;9;Não Identificado
indicador_trabalho_parcial;0;Não
indicador_trabalho_parcial;1;Sim
indicador_trabalho_parcial;9;Não Identificado
raca_cor;1;Branca
raca_cor;2;Preta
raca_cor;3;Parda
raca_cor;4;Amarela
raca_cor;5;Indígena
raca_cor;6;Não Informada
raca_cor;9;Não Identificado
sexo;1;Homem
sexo;3;Mulher
sexo;9;Não Identificado
tamanho_estabelecimento_janeiro;1;Nenhum Vínculo
tamanho_estabelecimento_janeiro;10;1000 Ou Mais Vínculos
tamanho_estabelecimento_janeiro;2;De 1 A 4 Vínculos
tamanho_estabelecimento_janeiro;3;De 5 A 9 Vínculos
tamanho_estabelecimento_janeiro;4;De 10 A 19 Vínculos
tamanho_estabelecimento_janeiro;5;De 20 A 49 Vínculos
tamanho_estabelecimento_janeiro;6;De 50 A 99 Vínculos
tamanho_estabelecimento_janeiro;7;De 100 A 249 Vínculos
tamanho_estabelecimento_janeiro;8;De 250 A 499 Vínculos
tamanho_estabelecimento_janeiro;9;De 500 A 999 Vínculos
tamanho_estabelecimento_janeiro;99;Não Identificado
tipo_deficiencia;0;Não Deficiente
tipo_deficiencia;1;Física
tipo_deficiencia;2;Auditiva
tipo_deficiencia;3;Visual
tipo_deficiencia;4;Intelectual (Mental)
tipo_deficiencia;5;Múltipla
tipo_deficiencia;6;Reabilitado
tipo_deficiencia;9;Não Identificado
tipo_empregador;0;CNPJ Raiz
tipo_empregador;2;CPF
tipo_empregador;9;Não Identificado
tipo_estabelecimento;1;CNPJ
tipo_estabelecimento;3;CAEPF(Cadastro De Atividade Econômica De Pessoa Física)
tipo_estabelecimento;4;CNO(Cadastro Nacional De Obra)
tipo_estabelecimento;5;CEI(CAGED)
tipo_estabelecimento;9;Não Identificado
tipo_movimentacao;10;Admissão Por Primeiro Emprego
tipo_movimentacao;20;Admissão Por Reemprego
tipo_movimentacao;25;Admissão Por Contrato Trabalho Prazo Determinado
tipo_movimentacao;31;Desligamento Por Demissão Sem Justa Causa
tipo_movimentacao;32;Desligamento Por Demissão Com Justa Causa
tipo_movimentacao;33;Culpa Recíproca
tipo_movimentacao;35;Admissão Por Reintegração
tipo_movimentacao;40;Desligamento A Pedido
tipo_movimentacao;43;Término Contrato Trabalho Prazo Determinado
tipo_movimentacao;45;Desligamento Por Término De Contrato
tipo_movimentacao;50;Desligamento Por Aposentadoria
tipo_movimentacao;60;Desligamento Por Morte
tipo_movimentacao;70;Admissão Por Transferência
tipo_movimentacao;80;Desligamento Por Transferência
tipo_movimentacao;90;Desligamento Por Acordo Entre Empregado E Empregador
tipo_movimentacao;98;Desligamento De Tipo Ignorado
tipo_movimentacao;99;Não Identificado
faixa_etaria;1;10 a 14 anos
faixa_etaria;2;15 a 17 anos
faixa_etaria;3;18 a 24 anos
faixa_etaria;4;25 a 29 anos
faixa_etaria;5;30 a 39 anos
faixa_etaria;6;40 a 49 anos
faixa_etaria;7;50 a 64 anos
faixa_etaria;8;65 anos ou mais
faixa_etaria;99;Não Informada
cboa_ocup_2022;010105;Oficial General da Aeronautica
cboa_ocup_2022;010110;Oficial General do Exercito
cboa_ocup_2022;010115;Oficial General da Marinha
cboa_ocup_2022;010205;Oficial da Aeronautica
cboa_ocup_2022;010210;Oficial do Exercito
cboa_ocup_2022;010215;Oficial da Marinha
cboa_ocup_2022;010305;Praca da Aeronautica
cboa_ocup_2022;010310;Praca do Exercito
cboa_ocup_2022;010315;Praca da Marinha
cboa_ocup_2022;020105;Coronel da Policia Militar
cboa_ocup_2022;020110;Tenente-Coronel da Policia Militar
cboa_ocup_2022;020115;Major da Policia Militar
cboa_ocup_2022;020205;Capitao da Policia Militar
cboa_ocup_2022;020305;Primeiro Tenente de Policia Militar
cboa_ocup_2022;020310;Segundo Tenente de Policia Militar
cboa_ocup_2022;021105;Subtenente da Policia Militar
cboa_ocup_2022;021110;Sargento da Policia Militar
cboa_ocup_2022;021205;Cabo da Policia Militar
cboa_ocup_2022;021210;Soldado da Policia Militar
cboa_ocup_2022;030105;Coronel Bombeiro Militar
cboa_ocup_2022;030110;Major Bombeiro Militar
cboa_ocup_2022;030115;Tenente-Coronel Bombeiro Militar
cboa_ocup_2022;030205;Capitao Bombeiro Militar
cboa_ocup_2022;030305;Tenente do Corpo de Bombeiros Militar
cboa_ocup_2022;031105;Subtenente Bombeiro Militar
cboa_ocup_2022;031110;Sargento Bombeiro Militar
cboa_ocup_2022;031205;Cabo Bombeiro Militar
cboa_ocup_2022;031210;Soldado Bombeiro Militar
cboa_ocup_2022;111105;Senador
cboa_ocup_2022;111110;Deputado Federal
cboa_ocup_2022;111115;Deputado Estadual e Distrital
cboa_ocup_2022;111120;Vereador
cboa_ocup_2022;111205;Presidente da Republica
cboa_ocup_2022;111210;Vice-Presidente da Republica
cboa_ocup_2022;111215;Ministro de Estado
cboa_ocup_2022;111220;Secretario - Executivo
cboa_ocup_2022;111225;Membro Superior do Poder Executivo
cboa_ocup_2022;111230;Governador de Estado
cboa_ocup_2022;111235;Governador do Distrito Federal
cboa_ocup_2022;111240;Vice-Governador de Estado
cboa_ocup_2022;111245;Vice-Governador do Distrito Federal
cboa_ocup_2022;111250;Prefeito
cboa_ocup_2022;111255;Vice-Prefeito
cboa_ocup_2022;111305;Ministro do Supremo Tribunal Federal
cboa_ocup_2022;111310;Ministro do Superior Tribunal de Justica
cboa_ocup_2022;111315;Ministro do  Superior Tribunal Militar
cboa_ocup_2022;111320;Ministro do  Superior Tribunal do Trabalho
cboa_ocup_2022;111325;Juiz de Direito
cboa_ocup_2022;111330;Juiz Federal
cboa_ocup_2022;111335;Juiz Auditor Federal - Justica Militar
cboa_ocup_2022;111340;Juiz Auditor Estadual - Justica Militar
cboa_ocup_2022;111345;Juiz do Trabalho
cboa_ocup_2022;111405;Dirigente do Servico Publico Federal
cboa_ocup_2022;111410;Dirigente do Servico Publico Estadual e Distrital
cboa_ocup_2022;111415;Dirigente do Servico Publico Municipal
cboa_ocup_2022;111505;Especialista de Políticas Públicas e Gestão Governamental - Eppgg
cboa_ocup_2022;111510;Analista de Planejamento e Orçamento - Apo
cboa_ocup_2022;113005;Cacique
cboa_ocup_2022;113010;Lider de Comunidade Caicara
cboa_ocup_2022;113015;Membro de Lideranca Quilombola
cboa_ocup_2022;114105;Dirigente de Partido Politico
cboa_ocup_2022;114205;Dirigentes de Entidades de Trabalhadores
